Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Femme nue assise,197000,200000,300000,Stamped,1879,Pastel  and estompe over charcoal / Paper,1058,"Christie's New York, Rockefeller Center","05/13/2016
                ",sold,42.55,42.88
DANSEUSE ASSISE,250000,200000,300000,Stamped,1897-1900,Pastel  and charcoal / Paper,119,Sotheby's New York,"05/10/2016
                ",sold,41.91,56.85
DANSEUSE ASSISE,150000,100000,150000,Stamped,1880,Pastel / Paper,399,Sotheby's New York,"05/10/2016
                ",sold,53.34,47.63
AU BORD DE LA MER,0,87850,117130,Signed Lower Left,nogiven,Pastel / Paper,198,"Sotheby's London, New Bond Street","02/04/2016
                ",sold,31.4,16.4
PLAGE À MARÉE BASSE,142750,117130,175690,Signed Lower Left,1869,Pastel / Paper,199,"Sotheby's London, New Bond Street","02/04/2016
                ",sold,31.2,23.3
Programme de la soirée artistique du 15 mai 1884 ,100000,20000,30000,Stamped,1884,Pastel  and charcoal / Paper,1066,"Christie's New York, Rockefeller Center","11/13/2015
                ",sold,31.75,25.1
Dante et Virgile à l’entrée de l’Enfer,77500,50000,70000,Unavailable,1857-58,Oil / Paper,1280,"Christie's New York, Rockefeller Center","11/13/2015
                ",sold,22.23,32.08
LE DUO,0,200000,300000,Signed,1877-79,Pastel  over monotype / Paper,170,Sotheby's New York,"11/06/2015
                ",sold,16.21,11.76
STATUETTE ANTIQUE - DANSEUSE DE TANAGRA,62500,60000,80000,Stamped,1857-59,Oil / Board,341,Sotheby's New York,"11/06/2015
                ",sold,15.88,25.4
CAVALIER ET AMAZONE,0,220000,280000,Stamped,1881-85,Pastel / Paper,342,Sotheby's New York,"11/06/2015
                ",sold,22.23,31.12
"LA RUE QUESNOY, SAINT-VALÉRY-SUR-SOMME",250000,300000,500000,Stamped,1895-1898,Pastel / Paper,142,Sotheby's New York,"11/05/2015
                ",sold,64.47,48.59
ESQUISSE POUR UN PORTRAIT DE M. ET MME. LOUIS ROUART,286000,300000,500000,Stamped,1904,Pastel  and Charcoal / Paper on board,209,Sotheby's New York,"11/05/2015
                ",sold,68.58,98.76
"FEMME NUE, DE DOS, SE COIFFANT ",0,15000000,20000000,Signed,C1886-88,Pastel / Paper on board,21,Sotheby's New York,"11/04/2015
                ",sold,60.33,70.82
DANSEUSES EN BLANC,17050000,18000000,25000000,Signed,1878,Pastel  and gouache / Paper,32,Sotheby's New York,"11/04/2015
                ",sold,64.47,53.04
PORTRAIT DE ZACHARIAN,2650000,2500000,3500000,Unavailable,C1885,Pastel / Paper on board,48,Sotheby's New York,"11/04/2015
                ",sold,39.7,39.7
DANSEUSES,6074000,3000000,4000000,Signed Lower Left,1895-1900,Pastel  and charcoal / Paper on board,76,Sotheby's New York,"11/04/2015
                ",sold,77.8,65.41
PHYSIONOMIE DE CRIMINEL,769740,476130,634840,Signed,1881,Pastel / Paper on board,33,"Sotheby's London, New Bond Street","06/24/2015
                ",sold,63.0,47.8
DANSEUSE À LA BARRE,0,1587100,2380650,Stamped,1900,Pastel / Paper,42,"Sotheby's London, New Bond Street","06/24/2015
                ",sold,61.0,109.0
Portraits ,0,190450,285680,Unavailable,1857-59,Oil / Paper,336,"Christie's London, King Street","06/24/2015
                ",sold,55.5,46.0
Portrait d'homme d'après un maître flamand,156330,126970,190450,Stamped,1870,Oil / Paper,338,"Christie's London, King Street","06/24/2015
                ",sold,25.9,29.9
"Après le bain, femme s’essuyant la jambe ",4574820,3967750,5554850,Stamped,1893,Pastel / Paper,16,"Christie's London, King Street","06/23/2015
                ",sold,62.0,55.7
Scène de ballet,2797260,2380650,3174200,Stamped,1885,Oil / Canvas,33,"Christie's London, King Street","06/23/2015
                ",sold,56.3,81.3
"Tête de jeune garçon italien, 1856-1857",191250,170760,227680,Unavailable,nogiven,Oil / Cardboard,70,Sotheby's New York,"06/19/2015
                ",sold,17.7,22.6
TROIS TETES,0,109090,163640,Unavailable,1871,Oil / Canvas,39,Artcurial,"06/02/2015
                ",sold,46.0,38.0
Danseuse au repos,1865000,400000,600000,Signed Lower Right,1885,Pastel  and charcoal / Paper,1134,"Christie's New York, Rockefeller Center","05/15/2015
                ",sold,50.6,66.4
Danseuse à la barre,90000,70000,100000,Stamped,nogiven,Pastel  and charcoal / Paper,1138,"Christie's New York, Rockefeller Center","05/15/2015
                ",sold,24.0,31.7
Trois danseuses,11925000,6000000,8000000,Stamped,1900,Pastel / Paper on board,16C,"Christie's New York, Rockefeller Center","05/14/2015-05/15/2015
                ",sold,51.77,64.47
DANSEUSE DEBOUT,0,400000,600000,Stamped,1880,Pastel  and charcoal / Paper,128,Sotheby's New York,"05/06/2015
                ",sold,50.5,45.42
LE BAIN,0,900000,1200000,Signed,1883,Pastel  over monotype / Paper,3,Sotheby's New York,"05/05/2015
                ",sold,71.12,96.52
FEMME À SA TOILETTE,0,2500000,3500000,Signed Lower Left,1894,Pastel / Paper on board,52,Sotheby's New York,"05/05/2015
                ",sold,71.76,48.9
FEMME DEBOUT ET VUE DE FACE AGRAFANT SON CORSET,0,1800000,2500000,Signed Lower Right,1883,Oil / Canvas,54,Sotheby's New York,"05/05/2015
                ",sold,53.34,89.23
FEMME À SA TOILETTE,0,2500000,3500000,Signed,1897,Pastel / Paper on board,62,Sotheby's New York,"05/05/2015
                ",sold,52.4,46.99
TROIS DANSEUES,610000,800000,1200000,Unavailable,1895-98,Pastel / Paper,69,Sotheby's New York,"05/05/2015
                ",sold,48.9,78.74
FEMMES AU BAIN,434850,386880,541630,Stamped,1890-95,Pastel / Paper,347,"Sotheby's London, New Bond Street","02/04/2015
                ",sold,81.6,57.4
QUATRE DANSEUSES,0,4642500,7737500,Signed Lower Left,nogiven,Pastel / Paper,20,"Sotheby's London, New Bond Street","02/03/2015
                ",sold,73.0,84.0
Scène de ballet,0,3868750,5416250,Stamped,1885,Oil / Canvas,24,Bonhams Bond Street,"02/03/2015
                ",sold,56.3,81.0
DANSEUSE AU TAMBOURIN,2793240,1238000,1857000,Signed,1883,Oil / Paper,30,"Sotheby's London, New Bond Street","02/03/2015
                ",sold,40.0,31.8
Profil de sainte d'après?,7030,3977,5300,Stamped,nogiven,Watercolor and pencil / Paper,15,Giafferi,"11/24/2014
                ",sold,28.5,45.0
Après le bain,122500,40000,60000,Stamped,1903,Pastel  over counter-proof / Paper,131,"Christie's New York, Rockefeller Center","11/06/2014
                ",sold,52.71,70.18
Paysage,68750,70000,100000,Unavailable,1880-85,Pastel / Paper on board,138,"Christie's New York, Rockefeller Center","11/06/2014
                ",sold,44.15,26.67
TÊTE D'HOMME,425000,350000,450000,Stamped,1864,Oil / Canvasboard,122,Sotheby's New York,"11/05/2014
                ",sold,23.83,31.12
Danseuses et contrebasse,485000,400000,600000,Signed Lower Left,1879-80,Oil / Panel,22,Bonhams New York,"11/04/2014
                ",sold,17.15,22.86
"Nu assis, les jambes croisées, 1880",not communicated,464030,662900,Signed Lower Right,1880,Oil / Panel,1,"Tajan, Paris","07/28/2014
                ",sold,27.0,35.0
LA PROMENADE DES CHEVAUX,0,232130,386880,Stamped,1881-1885,Pastel  and charcoal / Paper,138,"Christie's London, King Street","06/25/2014
                ",sold,31.0,25.0
Jeune fille assise appuyée au dossier d'un fauteuil,653820,619000,928500,Stamped,1889,Oil / Panel,371,"Christie's London, King Street","06/25/2014
                ",sold,49.2,70.2
FEMME DEBOUT,449550,278550,386880,Unavailable,1870-72,Gouache / Paper,146,"Sotheby's London, New Bond Street","06/24/2014
                ",sold,29.9,47.4
PORTRAIT DE MME ERNEST MAY,461000,60000,80000,Signed Lower Right,1881-82,Pastel / Paper,213,Sotheby's New York,"05/08/2014
                ",sold,29.54,44.45
DEUX DANSEUSES ASSISES,5205000,3000000,5000000,Stamped,1896,Pastel / Canvas,42,Sotheby's New York,"05/07/2014
                ",sold,102.87,67.64
LA CONVERSATION,0,3500000,5000000,Signed and Dated,1895,Pastel / Paper,49,Sotheby's New York,"05/07/2014
                ",sold,49.86,65.1
BUSTE DE FEMME,0,800000,1200000,Signed,1887-90,Oil / Canvas,68,Sotheby's New York,"05/07/2014
                ",sold,35.56,54.61
Femme s'essuyant,0,3000000,5000000,Signed Lower Right,1905-1907,Pastel  on joined paper / Board,22,"Christie's New York, Rockefeller Center","05/06/2014
                ",sold,83.19,103.51
FEMME S'ESSUYANT LES PIEDS,2727470,1547500,2321250,Stamped,1893,Pastel / Paper on board,3,"Sotheby's London, New Bond Street","02/05/2014
                ",sold,58.0,45.7
DEUX DANSEUSES AU FOYER,783810,773750,1083250,Stamped,1898,Pastel / Paper,87,"Sotheby's London, New Bond Street","02/05/2014
                ",sold,44.5,52.0
Femme à sa toilette,449550,386880,541630,Unavailable,nogiven,Pastel  and charcoal / Paper,209,"Christie's London, King Street","02/05/2014
                ",sold,79.0,69.5
"PAYSAGE, EFFET DU SOIR",54160,46430,61900,Unavailable,1857-1858,Oil / Paper,444,"Christie's London, King Street","02/05/2014
                ",sold,31.2,19.3
FEMME TENANT UN CHAPEAU À LA MAIN,783810,309500,464250,Stamped,1885,Pastel / Paper,2,"Christie's London, King Street","02/04/2014
                ",sold,63.6,48.8
FEMME SE PEIGNANT,1085000,900000,1200000,Signed Lower Left,nogiven,Pastel / Paper,34,Sotheby's New York,"11/06/2013
                ",sold,38.1,49.53
Etude d'après La Sibylle de Delphe ; and Académie de Femme .,0,15000,20000,Unavailable,1855-56,Gouache  and pencil / Paper,63,Sotheby's New York,"09/12/2013
                ",sold,24.77,30.48
DANSEUSES,2760960,2819700,3916250,Signed,1896,Pastel / Paper,62,"Sotheby's London, New Bond Street","06/19/2013
                ",sold,42.0,63.0
"AU CAFÉ-CONCERT, DEUX CHANTEUSES",0,391630,548280,Stamped,1878-80,Pastel  and charcoal / Paper,64,"Sotheby's London, New Bond Street","06/19/2013
                ",sold,45.5,47.5
Plage à la marée basse,134520,47000,78330,Stamped,nogiven,Pastel / Paper,170,"Christie's London, King Street","06/19/2013
                ",sold,39.8,27.4
Cavalier et amazone,185070,182040,227550,Stamped,nogiven,Pastel / Paper,2068,Stockholm Auktionsverk,"06/04/2013-06/06/2013
                ",sold,22.0,31.0
ÉTUDE DE NU POUR UNE DANSEUSE À LA BARRE,545000,400000,600000,Signed Lower Right,1895-98,Pastel  and charcoal / Paper on board,468,Sotheby's New York,"05/08/2013
                ",sold,86.06,119.08
Marée montante,86500,78290,109600,Stamped,1869,Pastel / Paper,294,"Christie's London, King Street","02/07/2013
                ",sold,31.5,23.5
FEMMES AU BAIN,0,550480,707760,Stamped,1890-95,Pastel / Paper,320,"Sotheby's London, New Bond Street","02/06/2013
                ",sold,81.6,57.4
APRÈS LE BAIN ,12212480,3929750,5501650,Stamped,1882-85,Pastel / Paper on board,13,"Sotheby's London, New Bond Street","02/05/2013
                ",sold,58.0,72.0
DANSEUSE RAJUSTANT SON CHAUSSON,7106950,4715700,7859500,Stamped,1887,Pastel / Paper,19,"Sotheby's London, New Bond Street","02/05/2013
                ",sold,62.5,50.0
"JEUNE HOMME, VU DE PROFIL: COPIE D'APRES ""LES FUNÉRAILLES DE ST. BAERNARDIN"" DE PINTURICCHIO",47500,15000,20000,Stamped,nogiven,Watercolor and pencil / Paper,52,Sotheby's New York,"01/29/2013-01/30/2013
                ",sold,30.48,34.93
