Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Femme nue et pommes,0,319000,478500,Signed Lower Left,nogiven,Oil / Canvas,421,"Christie's London, King Street","02/03/2010
                ",sold,27.0,37.1
Portrait de Wilhelm Mühlfeld,537910,287100,398750,Signed and Dated,1910,Oil / Canvas,422,"Christie's London, King Street","02/03/2010
                ",sold,46.6,55.0
Coucher de soleil à Douarnenez,747700,398350,557690,Signed Lower Left,1883,Oil / Canvas,2,"Christie's London, King Street","02/02/2010
                ",sold,64.4,53.7
Mademoiselle Grimprel au ruban rouge ,4884170,2868120,3983500,Signed and Dated,1880,Oil / Canvas,5,"Christie's London, King Street","02/02/2010
                ",sold,35.4,44.5
Nu au chapeau de paille assis en bordure de mer,1814640,1115380,1593400,Signed Lower Right,1892,Oil / Canvas,8,"Christie's London, King Street","02/02/2010
                ",sold,32.5,41.2
L'étang,0,437670,583560,Signed Lower Right,nogiven,Oil / Canvas,13,Claude Aguttes,"12/16/2009
                ",sold,39.0,30.0
"Vieux Port à Marseille, personnages, bâteaux",0,510620,583560,Stamped,1890,Oil / Canvas,26,Claude Aguttes,"12/16/2009
                ",sold,40.0,30.0
Paysage à Cagnes,488910,364730,437670,Signed Lower Right,nogiven,Oil / Canvas,27,Claude Aguttes,"12/16/2009
                ",sold,47.0,26.0
Portrait de femme,0,116710,145890,Unavailable,nogiven,Oil / Canvas,31,Claude Aguttes,"12/16/2009
                ",sold,11.5,17.0
Portrait de petite fille,0,43770,72950,Signed Monogram,nogiven,Oil / Canvas,32,Claude Aguttes,"12/16/2009
                ",sold,6.0,9.2
Coucher de soleil en automne,145410,102120,116710,Signed Lower Right,nogiven,Oil / Canvas,33,Claude Aguttes,"12/16/2009
                ",sold,32.0,18.5
Femme en rouge,0,291780,583560,Signed and Dated,1912,Oil / Canvas,81,Delorme Collin Du Bocage Paris,"12/16/2009
                ",sold,33.0,36.0
Assiette de Provence,86110,73520,0,Signed,1915,Oil / Canvas,110,"Ketterer Kunst, Munich","12/12/2009
                ",sold,38.0,21.4
PAYSAGE,89890,73990,103580,Stamped,1919,Oil / Canvas,72,Sotheby's Paris,"12/09/2009
                ",sold,32.7,23.0
JEUNE FILLE EN ROSE,0,296880,445320,Signed Lower Left,1900,Oil / Canvas,5,"Tajan, Paris","12/08/2009
                ",sold,15.0,30.5
PORTRAIT DE JEUNE FILLE,37590,29690,44530,Unavailable,nogiven,Oil / Canvas,7,Artcurial,"12/08/2009
                ",sold,8.2,11.2
THURNEYSSEN,74380,51950,66800,Signed Lower Right,nogiven,Oil / Canvas,8,Artcurial,"12/08/2009
                ",sold,19.5,21.5
JEUNE FILLE AU CHAPEAU,46790,29690,44530,Signed,nogiven,Oil / Canvas,9,Artcurial,"12/08/2009
                ",sold,10.4,16.2
JEUNE FILLE ALLONGEE,35750,29690,44530,Signed,nogiven,Oil / Canvas,10,Artcurial,"12/08/2009
                ",sold,17.2,12.4
VUE DE CAGNES,0,296880,445320,Signed Lower Left,nogiven,Oil / Canvas,28,"Tajan, Paris","12/08/2009
                ",sold,33.3,21.0
Paysage arboré,159650,0,0,Signed Initials,nogiven,Oil / Canvas,7A,Bonhams Bond Street,"12/03/2009
                ",sold,24.0,19.0
Baigneuse assise au bord de la mer,978250,903000,1204000,Signed Lower Left,nogiven,Oil / Canvas,69,Millon & Associes,"12/02/2009
                ",sold,65.0,81.0
"Portrait of Gabrielle, the artist's housekeeper",0,24780,33040,Unavailable,nogiven,Oil / Card,457,Woolley and Wallis,"12/02/2009
                ",sold,8.89,10.8
Jeune Femme au Bateau,26890,32860,0,Unavailable,1870-1880,Watercolor  over pencil and pen / Paper,7299,"Galerie Bassenge, Berlin","11/28/2009
                ",sold,19.1,29.2
Etude de Jeune fille et fleur,66470,43350,50580,Unavailable,1880,Oil / Canvas,2376,Stockholm Auktionsverk,"11/25/2009-11/27/2009
                ",sold,15.0,12.5
PAYSAGE,104500,70000,90000,Stamped,1905,Oil / Canvas,107,Sotheby's New York,"11/05/2009
                ",sold,33.35,16.21
JEUNES FILLES À ARGENTEUIL,0,650000,950000,Signed Lower Left,1896,Oil / Canvas,143,Sotheby's New York,"11/05/2009
                ",sold,64.77,53.98
NATURE MORTE AUX FIGUES,470500,300000,400000,Signed and Dated,1915,Oil / Canvas,147,Sotheby's New York,"11/05/2009
                ",sold,43.51,29.54
"ÉTUDE DE PERSONNAGES, PAYSAGE ET FLEURS",68500,70000,90000,Unavailable,nogiven,Oil / Canvas,209,Sotheby's New York,"11/05/2009
                ",sold,10.16,28.91
PORTRAIT DE CLAUDE,0,350000,450000,Signed,1908,Oil / Canvas,213,Sotheby's New York,"11/05/2009
                ",sold,26.67,30.48
TROIS BAIGNEUSES,218500,90000,120000,Signed Initials,1895,Oil / Canvas,231,Sotheby's New York,"11/05/2009
                ",sold,16.51,22.86
PAYSAGE AVEC VUE SUR LA MER,362500,250000,350000,Stamped,nogiven,Oil / Canvas,232,Sotheby's New York,"11/05/2009
                ",sold,31.12,23.83
TÊTE D'ENFANT,98500,100000,150000,Signed Initials,nogiven,Pastel / Card,285,Sotheby's New York,"11/05/2009
                ",sold,11.76,13.34
ÉTUDE DE VISAGES,0,40000,60000,Unavailable,nogiven,Oil / Canvas,286,Sotheby's New York,"11/05/2009
                ",sold,6.99,20.02
BAIGNEUSE,2434500,700000,1000000,Signed Lower Right,1893,Oil / Canvas,18,Sotheby's New York,"11/04/2009
                ",sold,31.75,40.64
FEMME AU CHAPEAU BLANC,2882500,2500000,3500000,Signed Lower Left,1892,Oil / Canvas,20,Sotheby's New York,"11/04/2009
                ",sold,46.05,54.94
NATURE MORTE AUX POMMES ET POIRES,962500,350000,450000,Signed Lower Right,1890,Oil / Canvas,22,Sotheby's New York,"11/04/2009
                ",sold,36.83,27.94
Paysage de Cagnes,212500,120000,160000,Stamped,1904-1910,Oil / Canvas,202,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,29.85,18.42
Paysage,92500,80000,120000,Signed Initials,nogiven,Oil / Canvas,206,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,25.1,16.51
Femme en blouse blanche,218500,200000,300000,Stamped,1907,Oil / Canvas,211,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,21.29,24.13
Pommes,80500,80000,120000,Stamped,1919,Oil / Canvas,230,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,22.23,16.21
Portrait de Georges Rivière,188500,100000,150000,Signed,1909,Oil / Canvas,235,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,24.13,32.08
Compotier de fruits,506500,250000,350000,Signed Lower Right,1890,Oil / Canvas,248,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,36.83,32.39
Esquisse du Jugement de Pâris,0,400000,600000,Stamped,1913,Oil / Canvas,252,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,65.1,54.31
Vase de fleurs et femme,0,150000,200000,Signed,nogiven,Oil / Canvas,262,"Christie's New York, Rockefeller Center","11/04/2009
                ",sold,24.77,35.26
Les hauteurs de Trouville,1426500,900000,1200000,Signed Lower Left,1885,Oil / Canvas,16,"Christie's New York, Rockefeller Center","11/03/2009
                ",sold,63.5,53.34
"Nu couché, vu de dos, sur fond ocre",602500,350000,450000,Signed Lower Right,1885,Oil / Canvas,18,"Christie's New York, Rockefeller Center","11/03/2009
                ",sold,41.91,29.54
Nature morte aux tomates,53130,30000,45010,Signed Lower Left,nogiven,Oil / Canvas,133,"Tajan, Paris","10/26/2009
                ",sold,16.2,13.0
Homme portant un garcon,0,106000,159000,Stamped,nogiven,Oil / Canvas,340,Mallet Auction Japan,"07/24/2009
                ",sold,14.6,25.3
ANÉMONES,130620,65930,98890,Unavailable,nogiven,Oil / Canvas,119,"Sotheby's London, New Bond Street","06/25/2009
                ",sold,20.8,20.0
MAISONS À CAGNES,338290,296680,412050,Signed Lower Right,1908,Oil / Canvas,124,"Sotheby's London, New Bond Street","06/25/2009
                ",sold,33.5,24.7
PORTRAIT D'ENFANT,239400,214270,296680,Signed,nogiven,Oil / Canvas,126,"Sotheby's London, New Bond Street","06/25/2009
                ",sold,19.4,27.5
"PAYSAGE, ARBRES AU PREMIER PLAN ET FOND DE MER",150400,115370,148340,Stamped,1900,Oil / Canvas,225,"Sotheby's London, New Bond Street","06/25/2009
                ",sold,33.0,20.0
PAYSAGE AVEC MAISON,130620,82410,115370,Stamped,1910-14,Oil / Canvas,228,"Sotheby's London, New Bond Street","06/25/2009
                ",sold,30.0,16.3
"NATURE MORTE, FLEURS ET FRUITS",4640610,2939940,4083250,Signed and Dated,1889,Oil / Canvas,13,"Sotheby's London, New Bond Street","06/24/2009
                ",sold,54.0,65.5
Paysage,69100,27880,41820,Signed Lower Right,nogiven,Watercolor / Paper,17,Piasa,"06/24/2009
                ",sold,22.0,16.5
Portrait au chapeau vert,40600,27880,41820,Signed Lower Left,nogiven,Oil / Canvas,18,Piasa,"06/24/2009
                ",sold,7.5,7.5
Paysage,137990,114990,164270,Signed Lower Right,1910-14,Oil / Canvas,7,Bonhams Bond Street,"06/23/2009
                ",sold,40.6,24.1
Blumen,173510,138810,249860,Unavailable,1915,Oil / Canvas,39,"Im Kinsky Kunst Auktionen, Vienna","06/23/2009
                ",sold,19.0,24.0
Allée d'arbres ,0,139440,0,Stamped,1900,Oil / Canvas,218,"Ketterer Kunst, Munich","06/19/2009
                ",sold,32.0,26.0
Nature morte aux poissons,0,92730,0,Signed and Dated,1919,Oil / Canvas,155,Galerie Kornfeld and Cie,"06/11/2009-06/12/2009
                ",sold,42.0,20.2
PAYSAGE,0,41890,55850,Unavailable,nogiven,Oil / Canvas,21,AuctionART-Remy Le Fur & Associes,"06/08/2009
                ",sold,29.0,12.5
BAIGNEUSE NUE DE DOS,0,55850,83780,Unavailable,nogiven,Oil / Canvas,22,AuctionART-Remy Le Fur & Associes,"06/08/2009
                ",sold,11.5,16.0
Komposition,10310,14120,0,Unavailable,1905,Oil / Canvas,7299,"Galerie Bassenge, Berlin","06/06/2009
                ",sold,11.0,6.5
La promenade en barque,0,23030,32240,Unavailable,1880,Watercolor  and pen and ink / Paper,112,Germann,"05/25/2009-05/28/2009
                ",sold,18.0,26.0
"Feuille d'études, couple assis, femme au chapeau et petit garçon",92500,40000,60000,Signed Initials,nogiven,"Pastel  with charcoal, pen and india ink / Paper",109,"Christie's New York, Rockefeller Center","05/07/2009
                ",sold,29.54,41.61
Nature morte,104500,60000,80000,Stamped,1919,Oil / Canvas,203,"Christie's New York, Rockefeller Center","05/07/2009
                ",sold,27.94,15.24
Paysage,230500,120000,180000,Signed Lower Left,1900,Oil / Canvas,219,"Christie's New York, Rockefeller Center","05/07/2009
                ",sold,32.08,20.96
FEMME NUE DANS UN INTÉRIEUR,398500,325000,375000,Signed,nogiven,Oil / Canvas,162,Sotheby's New York,"05/06/2009
                ",sold,24.46,40.34
