Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
ILLUSTRATION FOR NICHOLAS NICKLEBY,5630,5000,7000,Signed and Titled,31.12 x 23.83,1927,Charcoal / Paper,56,Sotheby's New York,"03/28/2018
                ",sold,23.83,31.12
Storefront,15000,4000,6000,Unavailable,13.97 x 21.59,nogiven,Charcoal / Paper,44,Rago Arts and Auction Center,"11/11/2017
                ",sold,21.59,13.97
SPINDLY LOCUSTS,0,250000,350000,Signed Lower Right,51.44 x 65.41,1936,Watercolor and pencil / Paper,49,Sotheby's New York,"05/23/2017
                ",sold,65.41,51.44
"""Bridge on Seine,""",7560,3000,5000,Signed Lower Right,41.91 x 33.02,1907,Pencil / Paper,6167,Clars Auction Gallery,"05/21/2017
                ",sold,33.02,41.91
"""Temptation of St. Anthony""",0,12000,18000,Signed and Titled,31.12 x 22.86,1900-10,Conte Crayon / Paper,68,Neal Auction Company,"04/22/2017-04/23/2017
                ",sold,22.86,31.12
"""NYACK WITH STEEPLE OF SAINT ANNE'S CHURCH""",15000,20000,30000,Unavailable,19.20 x 26.10,1905,Pencil / Card,140,Freeman's,"04/06/2017
                ",sold,26.1,19.2
"FIGURE STUDY FOR ""CAPE COD MORNING""",35000,8000,12000,Unavailable,29.54 x 21.92,1950,Charcoal / Paper,34,Freeman's,"10/20/2016
                ",sold,21.92,29.54
"The Artist's Sister, 1899",6880,10000,15000,Signed and Dated,42.55 x 31.75,1899,Ink  and graphite / Paper,226,Leslie Hindman Auctioneers,"09/29/2016
                ",sold,31.75,42.55
Black and white scene,5500,1000,1500,Signed Lower Left,46.36 x 32.39,nogiven,Watercolor / Board,4237,Kaminski Auctions,"09/11/2016
                ",sold,32.39,46.36
Standing Woman,0,20000,30000,Signed and Dated,57.15 x 35.56,1900,Ink  and pencil / Paper,5,Bonhams New York,"05/18/2016
                ",sold,35.56,57.15
CHURCH IN EASTHAM,0,600000,800000,Signed Lower Right,54.94 x 67.64,1948,Watercolor and pencil / Paper,46,Sotheby's New York,"05/18/2016
                ",sold,67.64,54.94
Study of a Night Shirt,12500,10000,15000,Signed and Dated,17.15 x 15.88,1901,Pencil / Paper,120,"Christie's New York, Rockefeller Center","11/19/2015
                ",sold,15.88,17.15
"""Study for ""The City""""",45600,20000,30000,Unavailable,21.59 x 27.94,nogiven,Charcoal / Paper,61,Freeman's,"10/16/2015
                ",sold,27.94,21.59
"""Scarboro Bridge & Lake, Mass [sic]""",5250,2500,3500,Signed Lower Right,20.32 x 27.94,nogiven,Pencil / Paper,104,Barridoff Galleries,"10/16/2015
                ",sold,27.94,20.32
Letter with a Sketch of an Artist at Work by a Lighthouse,2460,8000,12000,Signed,21.59 x 27.94,nogiven,Ink / Paper,399,"Skinner Inc, Boston","09/11/2015
                ",sold,27.94,21.59
South of Washington Square,437000,250000,350000,Signed Lower Right,36.83 x 57.15,1915,Charcoal / Paperboard,7,"Christie's New York, Rockefeller Center","05/21/2015
                ",sold,57.15,36.83
Two Puritans,0,20000000,30000000,Signed Lower Left,76.20 x 101.60,1945,Oil / Canvas,10,"Christie's New York, Rockefeller Center","05/21/2015
                ",sold,101.6,76.2
House with Dead Trees,0,2500000,3500000,Signed Lower Right,50.80 x 71.12,1932,Watercolor / Paper,11,"Christie's New York, Rockefeller Center","05/21/2015
                ",sold,71.12,50.8
Study for Cape Cod Morning,45000,40000,60000,Unavailable,20.32 x 26.37,nogiven,Conte Crayon / Paper,62,Freeman's,"04/29/2015
                ",sold,26.37,20.32
"Portrait of Marion Hopper, the Artist's Sister",7800,4000,6000,Signed and Dated,18.75 x 13.67,1908,Pencil / Paper,63,Barridoff Galleries,"04/29/2015
                ",sold,13.67,18.75
Cape Road,0,6000,9000,Unavailable,19.38 x 26.37,nogiven,Conte Crayon / Paper,64,Freeman's,"04/29/2015
                ",sold,26.37,19.38
Possible depicting Margret Hamilton who played the Wicked Witch in The Wizard of Oz Movie  ONLINE only auction,0,1500,2000,Signed Lower Right,24.13 x 34.29,nogiven,Pencil / Paper,104,Midwest Auction Galleries,"03/07/2015
                ",sold,34.29,24.13
Possible depicting Margret Hamilton who played the Wicked Witch in The Wizard of Oz Movie,0,1500,2000,Signed Lower Right,24.13 x 34.29,nogiven,Pencil / Paper,104,Midwest Auction Galleries,"02/13/2015
                ",sold,34.29,24.13
STREET IN SHADE,25200,30000,40000,Signed on Reverse,13.18 x 9.53,nogiven,Oil / Board,2010,DuMouchelles Auction House,"12/12/2014-12/14/2014
                ",sold,9.53,13.18
DUNE AT TRURO,233000,120000,180000,Inscribed and Signed,35.56 x 50.80,nogiven,Watercolor and pencil / Paper,9,Sotheby's New York,"11/20/2014
                ",sold,50.8,35.56
"SHOSHONE CLIFFS, WYOMING",0,300000,500000,Signed Lower Right,54.31 x 67.01,1941,Watercolor and pencil / Paper,16,Sotheby's New York,"11/20/2014
                ",sold,67.01,54.31
Railroad Embankment,1445000,1200000,1800000,Signed Lower Right,35.56 x 50.80,1932,Watercolor and gouache / Paper,33,"Christie's New York, Rockefeller Center","11/19/2014
                ",sold,50.8,35.56
"Trees, East Gloucester",0,150000,250000,Signed Lower Left,35.56 x 50.80,1926,Watercolor / Paper,103,"Christie's New York, Rockefeller Center","11/19/2014
                ",sold,50.8,35.56
Boy with Rifle and Bust of Woman ,16250,15000,25000,Signed,55.88 x 34.93,nogiven,Ink  and pencil / Paper,68122,Heritage Auctions,"11/17/2014
                ",sold,34.93,55.88
COAST GUARD COVE,1085000,1000000,1500000,Inscribed and Signed,35.56 x 50.80,1929,Watercolor / Paper,2,Sotheby's New York,"11/10/2014
                ",sold,50.8,35.56
Untitled ,0,8000,12000,Unavailable,19.69 x 26.04,nogiven,Conte Crayon / Paper,51,Provincetown Art Association Benefit Auction,"09/20/2014
                ",sold,26.04,19.69
Coast Guard Boat I,1745000,1000000,1500000,Signed Lower Right,35.56 x 50.80,1929,Watercolor and pencil / Paper,15,"Christie's New York, Rockefeller Center","05/22/2014
                ",sold,50.8,35.56
HOUSE ON THE SHORE,1085000,300000,500000,Signed and Dated,35.56 x 50.80,1924,Watercolor / Paper,35,Sotheby's New York,"05/21/2014
                ",sold,50.8,35.56
Shacks on Skyline,59380,30000,50000,Signed Lower Right,30.18 x 45.72,nogiven,Charcoal / Paper,111,Doyle New York,"05/06/2014
                ",sold,45.72,30.18
PORTRAIT OF ALTA HILSDALE,0,0,0,Unavailable,60.96 x 50.80,nogiven,Oil / Canvas,1141,Freeman's,"04/12/2014-04/13/2014
                ",sold,50.8,60.96
OREGON COAST,839520,386880,541630,Signed Lower Right,50.20 x 69.90,1941,Watercolor / Paper,32,"Sotheby's London, New Bond Street","02/05/2014
                ",sold,69.9,50.2
"""STEAM ENGINE: THE BEN FRANKLIN""",0,10000,15000,Signed Initials,20.10 x 25.10,nogiven,Pencil / Paper,75,Freeman's,"12/08/2013
                ",sold,25.1,20.1
East Wind Over Weehawken,40485000,22000000,28000000,Signed Lower Right,86.36 x 127.64,1934,Oil / Canvas,17,"Christie's New York, Rockefeller Center","12/05/2013
                ",sold,127.64,86.36
Sugar Maple,0,300000,500000,Signed Lower Right,35.56 x 50.80,1938,Watercolor / Paper,19,"Christie's New York, Rockefeller Center","12/05/2013
                ",sold,50.8,35.56
CHURCH IN EASTHAM,0,2000000,3000000,Signed Lower Right,54.94 x 67.64,1948,Watercolor and pencil / Paper,28,Sotheby's New York,"12/04/2013
                ",sold,67.64,54.94
SPINDLEY LOCUSTS,305000,300000,500000,Signed Lower Right,51.44 x 65.41,1936,Watercolor and pencil / Paper,58,Sotheby's New York,"12/04/2013
                ",sold,65.41,51.44
Seated Gentleman with Red Tie,56250,50000,70000,Signed,45.72 x 25.40,1901,Oil / Canvas,114,Bonhams New York,"12/04/2013
                ",sold,25.4,45.72
STILL LIFE WITH WINE BOTTLE AND GLASS,173000,8000,12000,Signed and Dated,16.51 x 11.43,1999,Watercolor / Paper,183,"Christie's New York, Rockefeller Center","11/05/2013
                ",sold,11.43,16.51
DUNE AT TRURO,0,300000,500000,Inscribed and Signed,35.56 x 50.80,1930,Watercolor and pencil / Paper,50,"Christie's New York, Rockefeller Center","11/04/2013
                ",sold,50.8,35.56
"PORTRAIT OF ALTA HILSDALE, circa 1904-14",0,0,0,Unavailable,60.96 x 50.80,nogiven,Oil / Canvas,1552,Freeman's,"06/15/2013-06/16/2013
                ",sold,50.8,60.96
Monkey.,4800,5000,8000,Signed Initials,9.53 x 7.32,1901,Pencil / Paper,12,Swann Galleries,"06/13/2013
                ",sold,7.32,9.53
"""Maiden Wait,"" The Ripple Saith.",0,25000,35000,Signed and Dated,22.86 x 16.21,1899,Watercolor and pencil / Paper,13,Swann Galleries,"06/13/2013
                ",sold,16.21,22.86
Blackwell's Island,19163750,15000000,20000000,Signed Lower Right,87.63 x 151.13,1928,Oil / Canvas,16,"Christie's New York, Rockefeller Center","05/23/2013
                ",sold,151.13,87.63
Kelly Jenness House,4155750,2000000,3000000,Signed Lower Right,50.80 x 71.12,1932,Watercolor / Paper,19,"Christie's New York, Rockefeller Center","05/23/2013
                ",sold,71.12,50.8
"Drawing for ""Summer Twilight""",50000,50000,70000,Inscribed and Signed,21.59 x 25.40,nogiven,Pencil / Paper,60,"Christie's New York, Rockefeller Center","05/23/2013
                ",sold,25.4,21.59
Portrait of Walter Tittle,0,15000,30000,Signed Lower Right,36.83 x 31.50,1918,Charcoal / Paper,2035,Michaan's Auctions,"12/01/2012
                ",sold,31.5,36.83
October on Cape Cod,9602500,8000000,12000000,Signed Lower Right,66.68 x 107.32,1946,Oil / Canvas,15,"Christie's New York, Rockefeller Center","11/28/2012
                ",sold,107.32,66.68
Two Figures ,0,100000,150000,Unavailable,17.78 x 24.13,1956,Charcoal / Paper,17,"Christie's New York, Rockefeller Center","11/28/2012
                ",sold,24.13,17.78
Barn at Essex,1762500,800000,1200000,Signed Lower Right,40.64 x 63.50,1929,Watercolor and pencil / Paper,18,"Christie's New York, Rockefeller Center","11/28/2012
                ",sold,63.5,40.64
"""Maiden Wait,"" The Ripple Saith.",0,30000,50000,Signed and Dated,22.86 x 16.21,1899,Watercolor and pencil / Paper,8,Swann Galleries,"11/15/2012
                ",sold,16.21,22.86
Tredwell's Folly,0,200000,300000,Unavailable,20.32 x 25.40,nogiven,Oil / Board,143,Freeman's,"10/24/2012
                ",sold,25.4,20.32
A Scout,31200,25000,35000,Signed and Dated,24.46 x 19.38,1899,Watercolor / Paper,154,Barridoff Galleries,"10/24/2012
                ",sold,19.38,24.46
Smiths Dock,13750,10000,15000,Signed and Dated,18.42 x 26.67,1900,Ink / Paper,92,"Christie's New York, Rockefeller Center","09/25/2012
                ",sold,26.67,18.42
BRIDLE PATH,10386500,5000000,7000000,Signed Lower Right,59.39 x 107.01,1939,Oil / Canvas,10,Sotheby's New York,"05/17/2012
                ",sold,107.01,59.39
Indian with Tomahawk,1955,10000,15000,Signed Lower Right,39.37 x 24.77,1901,Pencil / Paper,173,Scottsdale Art Auction,"03/31/2012
                ",sold,24.77,39.37
Houses and Trees,0,10000,15000,Signed and Dated,31.12 x 25.40,1906,Pencil / Paper,9,"Christie's New York, Rockefeller Center","03/01/2012
                ",sold,25.4,31.12
"""Yachting Scene""",30750,15000,25000,Unsigned,12.70 x 17.15,nogiven,Watercolor / Paper,287,Neal Auction Company,"02/04/2012-02/05/2012
                ",sold,17.15,12.7
CONSTRUCTION IN MEXICO,0,800000,1200000,Signed Lower Right,53.34 x 73.66,1946,Watercolor / Paper,32,Sotheby's New York,"12/01/2011
                ",sold,73.66,53.34
South Truro Post Office I,482500,500000,700000,Signed Lower Right,34.93 x 50.17,1930,Watercolor and pencil / Paper,50,"Christie's New York, Rockefeller Center","05/18/2011
                ",sold,50.17,34.93
"STUDY FOR ""PORTRAIT OF ORLEANS""",0,40000,60000,Unsigned,26.67 x 40.64,1950,Conte Crayon / Paper,17,Sotheby's New York,"04/08/2011
                ",sold,40.64,26.67
BUILDING WITH UTILITY POLES,0,30000,50000,Unsigned,26.67 x 40.64,nogiven,Conte Crayon  and charcoal / Paper,18,Sotheby's New York,"04/08/2011
                ",sold,40.64,26.67
THE HOUSE,23750,8000,12000,Signed Lower Right,26.37 x 21.59,nogiven,Charcoal / Paper,159,Sotheby's New York,"09/29/2010
                ",sold,21.59,26.37
ARTIST AND MODEL,20000,8000,12000,Signed Lower Right,31.12 x 24.13,nogiven,Charcoal / Paper,161,Sotheby's New York,"09/29/2010
                ",sold,24.13,31.12
"Camp Nyack, Greenwood Lake",27500,15000,25000,Signed and Dated,25.40 x 35.56,1900,Ink  and pencil / Paper on board,45,"Christie's New York, Rockefeller Center","09/28/2010
                ",sold,35.56,25.4
Man on Log,22110,25000,35000,Unsigned,27.94 x 29.21,1906-1914,Watercolor and ink / Board,79119,Heritage Auctions,"05/27/2010
                ",sold,29.21,27.94
Christmas Card,6570,6000,8000,Signed Lower Right,13.34 x 19.05,1957,Collage / Card,79120,Heritage Auctions,"05/27/2010
                ",sold,19.05,13.34
SKYLIGHTS,80500,80000,120000,Signed Lower Left,30.48 x 48.26,1926,Conte Crayon / Paper,14,Sotheby's New York,"12/03/2009
                ",sold,48.26,30.48
"""Destroyer of the Great White Fleet""",11950,6000,8000,Signed and Dated,28.58 x 37.16,1900,Gouache  and penicl / Paper,62,Neal Auction Company,"11/21/2009-11/22/2009
                ",sold,37.16,28.58
TREE NEAR BRIDGE,0,2000,4000,Signed Lower Right,40.64 x 30.48,nogiven,Pencil / Paper,305,Leslie Hindman Auctioneers,"05/03/2009-05/04/2009
                ",sold,30.48,40.64
Rain on River,0,300000,500000,Signed Lower Right,35.56 x 49.23,1938,Watercolor and pencil / Paper,119,"Christie's New York, Rockefeller Center","12/04/2008
                ",sold,49.23,35.56
MEXICAN FIGURES ,0,16000,18000,Signed Initials,27.94 x 21.59,nogiven,Charcoal / Paper,177,"Aspire Auctions, Cleveland","11/20/2008
                ",sold,21.59,27.94
DUNE AT TRURO,241000,100000,150000,Signed Lower Right,35.56 x 50.80,1930,Watercolor and pencil / Paper,14,"Christie's New York, Rockefeller Center","05/21/2008
                ",sold,50.8,35.56
INDIAN WITH PEACE PIPE,23000,10000,15000,Signed Initials,29.21 x 20.83,nogiven,Wash / Paper,31,Scottsdale Art Auction,"04/05/2008
                ",sold,20.83,29.21
"Prospect Street, Gloucester",2057000,800000,1200000,Signed Lower Left,35.56 x 50.80,1928,Watercolor / Paper,116,"Christie's New York, Rockefeller Center","11/29/2007
                ",sold,50.8,35.56
"Gloucester Beach, Bass Rocks",993000,400000,600000,Signed Lower Right,29.72 x 45.72,1924,Watercolor and pencil / Paper,130,"Christie's New York, Rockefeller Center","11/29/2007
                ",sold,45.72,29.72
Vermont Sugar House,881000,500000,700000,Signed Lower Left,35.56 x 50.80,1938,Watercolor / Paper,138,"Christie's New York, Rockefeller Center","11/29/2007
                ",sold,50.8,35.56
Houses At Gloucester,337000,300000,500000,Signed Lower Left,29.72 x 45.72,nogiven,Charcoal / Paper,56,Sotheby's New York,"11/28/2007
                ",sold,45.72,29.72
Reclining Nude,18000,10000,15000,Signed Lower Right,33.02 x 49.53,nogiven,Conte Crayon / Paper,1506,New Orleans Auction Galleries Inc,"07/21/2007-07/22/2007
                ",sold,49.53,33.02
Study for The City,55200,40000,60000,Unsigned,18.29 x 25.40,nogiven,Charcoal / Paper,4,"Christie's New York, Rockefeller Center","05/24/2007
                ",sold,25.4,18.29
"Shoshone Cliffs, Wyoming",384000,400000,600000,Signed Lower Right,50.80 x 62.74,1941,Watercolor / Paper,137,"Christie's New York, Rockefeller Center","05/24/2007
                ",sold,62.74,50.8
Charleston Doorway,0,20000,30000,Signed Lower Right,22.86 x 30.48,nogiven,Pencil / Paper,178,"Christie's New York, Rockefeller Center","03/09/2007
                ",sold,30.48,22.86
Couple ,6000,6000,8000,Unsigned,28.45 x 16.51,nogiven,Mixed Media / Paper,78,Rago Arts and Auction Center,"02/10/2007
                ",sold,16.51,28.45
On of the Preobrajenski Regiment,4500,4000,6000,Unsigned,17.78 x 9.86,nogiven,Ink / Paper,82,Rago Arts and Auction Center,"02/10/2007
                ",sold,9.86,17.78
Russian Lancer,6000,4000,6000,Unsigned,17.78 x 9.86,nogiven,Mixed Media / Paper,83,Rago Arts and Auction Center,"02/10/2007
                ",sold,9.86,17.78
Hotel Window,26896000,10000000,15000000,Signed Lower Right,101.60 x 139.70,1955,Oil / Canvas,34,Sotheby's New York,"11/29/2006
                ",sold,139.7,101.6
Waldorf Astoria,5210,3000,5000,Unavailable,14.61 x 10.16,nogiven,Pencil / Paper,265,Barridoff Galleries,"08/04/2006
                ",sold,10.16,14.61
Study for the City,0,60000,80000,Unsigned,18.42 x 25.40,nogiven,Charcoal / Paper,25,"Christie's New York, Rockefeller Center","05/25/2006
                ",sold,25.4,18.42
"Study for ""Sea Watchers""",48000,20000,30000,Unsigned,38.10 x 32.39,nogiven,Charcoal / Paper,26,"Christie's New York, Rockefeller Center","05/25/2006
                ",sold,32.39,38.1
"Field and Homes, Eastham",102000,40000,60000,Signed Lower Left,26.67 x 40.64,nogiven,Charcoal / Paper,90,Sotheby's New York,"05/24/2006
                ",sold,40.64,26.67
Ivory booth,4250,5000,7000,Signed and Dated,25.40 x 17.78,1897,Ink / Paper,550,David Rago,"05/20/2006
                ",sold,17.78,25.4
"The Ivory Booth, 1879",5100,5000,7000,Signed,25.40 x 17.78,1897,Ink / Paper,550,Rago Arts and Auction Center,"05/20/2006
                ",sold,17.78,25.4
Bengal Writer,3250,4000,6000,Signed,20.32 x 12.70,nogiven,Ink / Paper,551,David Rago,"05/20/2006
                ",sold,12.7,20.32
The Bengal Writer,3900,4000,6000,Signed,20.32 x 12.70,nogiven,Ink / Paper,551,Rago Arts and Auction Center,"05/20/2006
                ",sold,12.7,20.32
Figure and House Sketch,6000,6000,8000,Unsigned,27.94 x 21.59,nogiven,Pencil / Paper,181,"Christie's New York, Rockefeller Center","03/02/2006
                ",sold,21.59,27.94
Three studies of a woman,7500,8000,10000,Unavailable,15.24 x 25.40,nogiven,Charcoal,21,Freeman's,"12/02/2005
                ",sold,25.4,15.24
Three Studies of a Woman,7500,8000,10000,Unsigned,15.24 x 24.77,nogiven,Mixed Media / Paper,21,Rago Arts and Auction Center,"12/02/2005
                ",sold,24.77,15.24
Figures studies for Pennsylvania coal town,3250,3500,4000,Unavailable,27.94 x 20.32,nogiven,Ink / Paper,22,Freeman's,"12/02/2005
                ",sold,20.32,27.94
"Figures Studies for ""Pennsylvania Coal Town""",3250,3500,4000,Unsigned,27.94 x 21.59,nogiven,Ink / Paper,22,Rago Arts and Auction Center,"12/02/2005
                ",sold,21.59,27.94
Portrait head,3250,3500,4000,Signed,22.86 x 20.32,nogiven,Ink / Paper,23,David Rago,"12/02/2005
                ",sold,20.32,22.86
Portrait Head,3250,3500,4000,Signed Lower Right,22.61 x 19.30,nogiven,Ink / Paper,23,Rago Arts and Auction Center,"12/02/2005
                ",sold,19.3,22.61
Crucifixion,2500,3000,3500,Unavailable,25.40 x 20.32,nogiven,Pencil / Paper,24,Freeman's,"12/02/2005
                ",sold,20.32,25.4
Crucifixion,2500,3000,3500,Unsigned,25.40 x 20.32,nogiven,Pencil / Paper,24,Rago Arts and Auction Center,"12/02/2005
                ",sold,20.32,25.4
Sheet studies,3250,0,0,Inscribed and Signed,27.94 x 20.32,nogiven,Charcoal,64,CRN Auctions,"11/20/2005
                ",sold,20.32,27.94
Female Nude Study,11950,15000,20000,Signed Initials,30.48 x 20.32,1901,Pencil / Paper,30404,Heritage Auctions,"11/17/2005-11/18/2005
                ",sold,20.32,30.48
Study after Velasquez,2530,2500,3500,Inscribed,12.70 x 8.26,nogiven,Ink / Paper,103,Vallot Fine Art Auctioneers,"09/18/2005
                ",sold,8.26,12.7
Man with Pipe; other sketches verso,1725,1000,1500,Unsigned,8.89 x 14.61,nogiven,Ink / Paper,104,Vallot Fine Art Auctioneers,"09/18/2005
                ",sold,14.61,8.89
Mexicans ,8500,5000,8000,Signed Initials,27.94 x 21.59,nogiven,Charcoal / Paper,55,Swann Galleries,"06/09/2005
                ",sold,21.59,27.94
Landscape,9200,3500,4500,Signed Initials,12.70 x 20.32,nogiven,Charcoal / Paper,14,Vallot Fine Art Auctioneers,"05/22/2005
                ",sold,20.32,12.7
Studies of Hands,1092,1300,1500,Unsigned,14.61 x 20.32,1900,Pencil / Paper,15,Vallot Fine Art Auctioneers,"05/22/2005
                ",sold,20.32,14.61
House on a Hill: Drawing for the Etching,307200,150000,250000,Signed,20.83 x 25.91,1920,Crayon / Paper,200,"Christie's New York, Rockefeller Center","05/19/2005
                ",sold,25.91,20.83
Studies for nighthawks,300000,300000,500000,Unavailable,10.16 x 17.78,1942,Charcoal,207,"Christie's New York, Rockefeller Center","05/19/2005
                ",sold,17.78,10.16
House and Tree,0,30000,50000,Signed on Reverse,13.21 x 9.40,nogiven,Oil / Board,212,"Christie's New York, Rockefeller Center","05/19/2005
                ",sold,9.4,13.21
Squam Light,1584000,1400000,1600000,Signed,60.96 x 73.66,1912,Oil / Canvas,74,Sotheby's New York,"05/18/2005
                ",sold,73.66,60.96
Chair Car,14016000,0,0,Signed,101.60 x 127.00,1965,Oil / Canvas,34,"Christie's New York, Rockefeller Center","05/11/2005
                ",sold,127.0,101.6
Dog with Black Collar,29880,25000,30000,Signed,38.10 x 48.77,nogiven,Charcoal / Paper,23482,Heritage Auctions,"05/11/2005
                ",sold,48.77,38.1
Dancing female nude,3000,1200,1500,Unavailable,12.70 x 10.16,nogiven,Pencil / Paper,189,Freeman's,"04/30/2005
                ",sold,10.16,12.7
Dancing Female Nude,3000,1200,1500,Unsigned,11.94 x 9.40,nogiven,Pencil / Paper,189,Rago Arts and Auction Center,"04/30/2005
                ",sold,9.4,11.94
Reclining Man,3500,2300,2800,Signed,20.32 x 17.78,1901,Pencil / Paper,190,Rago Arts and Auction Center,"04/30/2005
                ",sold,17.78,20.32
Studies of heads and ears,2100,2200,2600,Unavailable,25.40 x 20.32,nogiven,Charcoal,191,Freeman's,"04/30/2005
                ",sold,20.32,25.4
Studies of Hands and Ears,2100,2200,2600,Unsigned,26.67 x 20.32,nogiven,Charcoal / Panel,191,Rago Arts and Auction Center,"04/30/2005
                ",sold,20.32,26.67
Elegant Lady,9990,6000,8000,Signed,56.39 x 36.07,1900,Mixed Media / Paper,259,Shannon's Fine Art Auctioneers,"04/28/2005
                ",sold,36.07,56.39
The Dome of Dime Savings Bank,10800,2000,3000,Signed,15.75 x 10.41,nogiven,Pencil / Paper,134,Sotheby's New York,"03/23/2005
                ",sold,10.41,15.75
Charro,3320,3500,4500,Signed Initials,27.94 x 21.59,nogiven,Charcoal / Paper,13,Vallot Fine Art Auctioneers,"03/13/2005
                ",sold,21.59,27.94
Studies of Fencers and Boxers,1610,2500,3500,Unsigned,11.43 x 19.56,nogiven,Ink / Paper,14,Vallot Fine Art Auctioneers,"03/13/2005
                ",sold,19.56,11.43
Black Man Smoking a Cigar,1600,1400,1600,Unsigned,11.43 x 15.75,nogiven,Pencil / Paper,139,Rago Arts and Auction Center,"02/25/2005
                ",sold,15.75,11.43
Study of Men's Hats,1300,1300,1500,Unsigned,10.67 x 15.75,nogiven,Colored Pencil / Paper,140,Rago Arts and Auction Center,"02/25/2005
                ",sold,15.75,10.67
Nude Study,5290,3000,5000,Unsigned,44.45 x 26.67,nogiven,Conte Crayon / Paper,96,Bonhams California,"12/08/2004
                ",sold,26.67,44.45
Home by the Railroad,511500,150000,250000,Signed,30.48 x 45.72,nogiven,Charcoal / Paper,95,"Christie's New York, Rockefeller Center","12/02/2004
                ",sold,45.72,30.48
"Houses on the Beach, Gloucester",0,600000,800000,Signed,35.56 x 50.80,nogiven,Watercolor / Paper,18,Sotheby's New York,"12/01/2004
                ",sold,50.8,35.56
Man with Stick and Package Under His Arm,66000,30000,50000,Signed,25.40 x 21.59,1901,Pencil / Paper,56,Sotheby's New York,"12/01/2004
                ",sold,21.59,25.4
House on the Shore,0,500000,700000,Signed,35.56 x 50.80,1924,Watercolor / Paper,226,Sotheby's New York,"12/01/2004
                ",sold,50.8,35.56
Studies from Life,0,2000,3000,Unsigned,20.32 x 12.70,nogiven,Ink / Paper,597,Rago Arts and Auction Center,"10/02/2004
                ",sold,12.7,20.32
Study of a Dutch Girl,2500,2500,3500,Signed,8.38 x 6.35,nogiven,Ink / Paper,598,Rago Arts and Auction Center,"10/02/2004
                ",sold,6.35,8.38
Figure Studies,1600,2000,3000,Unsigned,22.10 x 15.24,nogiven,Ink / Paper,599,Rago Arts and Auction Center,"10/02/2004
                ",sold,15.24,22.1
Figure studies,1600,2000,3000,Unavailable,22.86 x 15.24,nogiven,Ink / Paper,599,Freeman's,"10/01/2004
                ",sold,15.24,22.86
Mexicans,6570,7000,10000,Signed Initials,27.94 x 21.59,nogiven,Pencil / Paper,160,"Christie's New York, Rockefeller Center","09/27/2004
                ",sold,21.59,27.94
Untitled,10220,900,0,Signed Initials,18.42 x 29.21,1901,Pencil / Paper,595,Mastro Auctions (see Legendary Auctions),"08/11/2004
                ",sold,29.21,18.42
Shacks at Pamet Head,702400,500000,700000,Signed,50.80 x 55.88,1937,Watercolor / Paper,146,Sotheby's New York,"05/19/2004
                ",sold,55.88,50.8
South Truro Post Office 1,0,1000000,1500000,Signed,34.80 x 50.04,nogiven,Mixed Media / Paper,134,"Christie's New York, Rockefeller Center","05/18/2004
                ",sold,50.04,34.8
