Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
The Iron Mill in The Hague,880000,650000,850000,Unavailable,1882,Mixed Media / Paper,26,"Christie's New York, Rockefeller Center","05/09/2007
                ",sold,60.33,35.89
Figure Sketches ; Sketches of a young woman ,480000,450000,650000,Inscribed,1890,Pencil / Paper,28,"Christie's New York, Rockefeller Center","05/09/2007
                ",sold,27.31,43.82
Vue de Paris aux Environs de Montmartre,1182090,588690,784920,Signed Lower Left,1886,Oil / Canvas,322,"Sotheby's London, New Bond Street","02/06/2007
                ",sold,38.43,45.72
Le Champ de Coquelots,810240,786640,1179960,Unavailable,1889,Mixed Media / Paper,29,"Sotheby's London, New Bond Street","02/05/2007
                ",sold,64.77,49.53
HOMME BUVANT UNE TASSE DE CAFÉ,296000,250000,350000,Signed Lower Left,1882,Pencil  and chalk / Paper,168,Sotheby's New York,"11/08/2006
                ",sold,25.4,31.75
A PAIR OF SHOES,8976000,8000000,12000000,Signed,1886-87,Oil / Canvas,24,Sotheby's New York,"11/07/2006
                ",sold,45.72,37.47
Still Life: Vase with gladioli and lilacs,3601070,3203800,4805700,Unavailable,1886,Oil / Canvas,118,"Christie's London, King Street","06/20/2006
                ",sold,33.5,69.0
Les Toits,4720000,2500000,3500000,Unsigned,1882,Watercolor  Gouache / Paper,18,Sotheby's New York,"05/03/2006
                ",sold,56.39,39.07
"L'Arlésienne, Madame Ginoux",40336000,40000000,50000000,Unavailable,1890,Oil / Canvas,19,"Christie's New York, Rockefeller Center","05/02/2006
                ",sold,53.98,64.77
Etudes de personnages ; Etudes de femme et paysage au paysan ,360040,163060,244590,Inscribed,1890,Pencil / Paper,542,"Christie's London, King Street","02/09/2006
                ",sold,27.3,44.3
Une liseuse de romans,3570440,3782250,5295150,Unavailable,1888,Oil / Canvas,18,"Christie's London, King Street","06/21/2005
                ",sold,92.7,73.0
FIELD OF STUBBLE WITH A THUNDERSTORM OVERHEAD,259620,218780,328180,Unavailable,1881,"Pencil  Black chalk and wash, heightened with white / Paper",110,"Sotheby's London, New Bond Street","06/21/2005
                ",sold,49.4,46.9
FEMME DANS UN JARDIN,5343600,3294000,4758000,Unavailable,1887,Oil / Canvas,17,"Sotheby's London, New Bond Street","06/20/2005
                ",sold,62.5,51.0
"Vue de la chambre de l'artiste, rue Lepic",2704000,1500000,2000000,Unavailable,1887,Oil  and pencil / Board,27,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,38.1,45.72
VIEILLE PAYSANNE,284910,185490,278240,Unavailable,1884-85,Watercolor / Paper,244,"Sotheby's London, New Bond Street","02/09/2005
                ",sold,19.8,26.4
"MAN STANDING, READING A BOOK",430340,370980,556470,Unavailable,1882,"Black crayon, graphite, brush and pen and ink and wash, heightened with white / Paper",247,"Sotheby's London, New Bond Street","02/09/2005
                ",sold,44.2,63.8
L'HIVER,0,222590,333880,Signed Lower Right,1881,"Watercolor, pencil and crayon / Paper",250,"Sotheby's London, New Bond Street","02/09/2005
                ",sold,38.0,20.0
Paysanne glanant,609730,298560,447840,Signed Lower Right,1885,Chalk  and Wash / Paper,3,"Christie's London, King Street","06/22/2004
                ",sold,42.5,53.3
Portrait de l'artiste sans barbe,71502500,0,0,Unavailable,1889,Oil / Canvas,325,"Christie's New York, Rockefeller Center","11/19/1998
                ",sold,32.51,40.89
Portrait du Dr. Gachet,82500000,40000000,50000000,Signed,1890,Oil / Canvas,21,"Christie's New York, Rockefeller Center","05/15/1990
                ",sold,56.9,66.04
Irises,53900000,0,0,Signed,nogiven,Oil / Canvas,25,Sotheby's New York,"11/11/1987
                ",sold,92.96,71.12
